LineId,type,time,Content,EventId,EventTemplate,ParameterList
1,DAEMON_START,1583678591.383:7307,op=start ver=2.8.2 format=raw kernel=5.0.0-1032-azure auid=4294967295 pid=6409 uid=0 ses=4294967295 subj=unconfined  res=success,e2797d68,op=start ver=<*>.<*>.<*> format=raw kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=success,"['2', '8.2', '5', '0.0-1032', '4294967295', '6409', '0', '4294967295']"
2,CONFIG_CHANGE,1583678591.415:42,audit_backlog_limit=8192 old=64 auid=4294967295 ses=4294967295 res=1,943a7bd2,audit_backlog_limit=<*> old=<*> auid=<*> ses=<*> <*>,"['8192', '64', '4294967295', '4294967295 res=1']"
3,CONFIG_CHANGE,1583678591.419:43,audit_failure=1 old=1 auid=4294967295 ses=4294967295 res=1,4f0a1bc9,audit_failure=<*> old=<*> auid=<*> ses=<*> <*>,"['1', '1', '4294967295', '4294967295 res=1']"
4,CONFIG_CHANGE,1583678591.419:44,audit_backlog_wait_time=0 old=15000 auid=4294967295 ses=4294967295 res=1,ff4db8d1,audit_backlog_wait_time=<*> old=<*> auid=<*> ses=<*> <*>,"['0', '15000', '4294967295', '4294967295 res=1']"
5,SERVICE_START,1583678591.423:45,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=auditd comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=auditd comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
6,USER_END,1583678593.475:46,"pid=6234 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6234', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
7,CRED_DISP,1583678593.475:47,"pid=6234 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6234', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
8,USER_CMD,1583678613.815:48,"pid=6627 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F61756469742E636F6E66 terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6627', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F61756469742E636F6E66', ""0 res=success'""]"
9,CRED_REFR,1583678613.815:49,"pid=6627 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6627', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
10,USER_START,1583678613.815:50,"pid=6627 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6627', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
