LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Mar,8,14:42:50,UbuntuApp,sudo,pam_unix(sudo:auth): authentication failure; logname= uid=1000 euid=0 tty=/dev/pts/0 ruser=sepses rhost=  user=sepses,1880755a,pam_unix(sudo:auth): authentication failure; logname= uid=<*> euid=<*> tty=/dev/pts/<*> ruser=sepses rhost= user=sepses,"['1000', '0', '0']"
2,Mar,8,14:42:54,UbuntuApp,sudo,pam_unix(sudo:auth): conversation failed,8df2590b,pam_unix(sudo:auth): conversation failed,[]
3,Mar,8,14:42:54,UbuntuApp,sudo,pam_unix(sudo:auth): auth could not identify password for [sepses],919ea90f,pam_unix(sudo:auth): auth could not identify password for [sepses],[]
4,Mar,8,14:42:54,UbuntuApp,sudo,sepses : 1 incorrect password attempt ; TTY=pts/0 ; PWD=/home/sepses ; USER=root ; COMMAND=/usr/bin/apt-get install auditd -z,c4b0a00c,sepses : <*> incorrect password attempt ; TTY=pts/<*> ; PWD=/home/sepses ; USER=root ; COMMAND=/usr/bin/apt-get install auditd -z,"['1', '0']"
5,Mar,8,14:43:07,UbuntuApp,sudo,sepses : TTY=pts/0 ; PWD=/home/sepses ; USER=root ; COMMAND=/usr/bin/apt-get install auditd -y,02617354,sepses : TTY=pts/<*> ; PWD=/home/sepses ; USER=root ; <*> <*> <*> <*>,"['0', 'COMMAND=/usr/bin/apt-get', 'install auditd -y']"
6,Mar,8,14:43:07,UbuntuApp,sudo,pam_unix(sudo:session): session opened for user root by (uid=0),7dc3fc60,pam_unix(sudo:session): session opened for user root by (uid=<*>),['0']
7,Mar,8,14:43:13,UbuntuApp,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
8,Mar,8,14:43:33,UbuntuApp,sudo,sepses : TTY=pts/0 ; PWD=/home/sepses ; USER=root ; COMMAND=/bin/nano /etc/audit/audit.conf,a94a4636,sepses : TTY=pts/<*> ; <*> ; USER=root ; <*> <*>,"['0', 'PWD=/home/sepses', 'COMMAND=/bin/nano /etc/audit/audit.conf']"
9,Mar,8,14:43:33,UbuntuApp,sudo,pam_unix(sudo:session): session opened for user root by (uid=0),7dc3fc60,pam_unix(sudo:session): session opened for user root by (uid=<*>),['0']
10,Mar,8,14:43:37,UbuntuApp,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
11,Mar,8,14:43:51,UbuntuApp,sudo,sepses : TTY=pts/0 ; PWD=/home/sepses ; USER=root ; COMMAND=/bin/systemctl enable auditd,0be69c2a,sepses : TTY=pts/<*> ; <*> ; USER=root ; <*> <*> <*>,"['0', 'PWD=/home/sepses', 'COMMAND=/bin/systemctl', 'enable auditd']"
12,Mar,8,14:43:51,UbuntuApp,sudo,pam_unix(sudo:session): session opened for user root by (uid=0),7dc3fc60,pam_unix(sudo:session): session opened for user root by (uid=<*>),['0']
13,Mar,8,14:43:52,UbuntuApp,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
14,Mar,8,14:43:56,UbuntuApp,sudo,sepses : TTY=pts/0 ; PWD=/home/sepses ; USER=root ; COMMAND=/bin/nano /etc/audit/audit.conf,a94a4636,sepses : TTY=pts/<*> ; <*> ; USER=root ; <*> <*>,"['0', 'PWD=/home/sepses', 'COMMAND=/bin/nano /etc/audit/audit.conf']"
15,Mar,8,14:43:56,UbuntuApp,sudo,pam_unix(sudo:session): session opened for user root by (uid=0),7dc3fc60,pam_unix(sudo:session): session opened for user root by (uid=<*>),['0']
