LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Mar,11,09:58:11,UbuntuApp,rsyslogd,"[origin software=""rsyslogd"" swVersion=""8.32.0"" x-pid=""1475"" x-info=""http://www.rsyslog.com""] rsyslogd was HUPed",f11daa49,"[origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http://www.rsyslog.com""] rsyslogd was HUPed","['8', '32.0', '1475']"
2,Mar,11,09:58:16,UbuntuApp,python3[1825],"2020-03-11T08:58:16.819921Z INFO ExtHandler Stopped tracking cgroup: Microsoft.OSTCExtensions.VMAccessForLinux-1.5.4, path: /sys/fs/cgroup/cpu/system.slice/Microsoft.OSTCExtensions.VMAccessForLinux_1.5.4_b5ee727e-9722-4cc9-93d1-519758a1f774.scope",a1ea949a,"<*> INFO ExtHandler Stopped tracking cgroup: Microsoft.OSTCExtensions.VMAccessForLinux-<*>.<*>.<*>, path: <*>","['2020-03-11T08:58:16.819921Z', '1', '5.4', '/sys/fs/cgroup/cpu/system.slice/Microsoft.OSTCExtensions.VMAccessForLinux_1.5.4_b5ee727e-9722-4cc9-93d1-519758a1f774.scope']"
3,Mar,11,09:58:16,UbuntuApp,python3[1825],"2020-03-11T08:58:16.820504Z INFO ExtHandler Stopped tracking cgroup: Microsoft.OSTCExtensions.VMAccessForLinux-1.5.4, path: /sys/fs/cgroup/memory/system.slice/Microsoft.OSTCExtensions.VMAccessForLinux_1.5.4_b5ee727e-9722-4cc9-93d1-519758a1f774.scope",a1ea949a,"<*> INFO ExtHandler Stopped tracking cgroup: Microsoft.OSTCExtensions.VMAccessForLinux-<*>.<*>.<*>, path: <*>","['2020-03-11T08:58:16.820504Z', '1', '5.4', '/sys/fs/cgroup/memory/system.slice/Microsoft.OSTCExtensions.VMAccessForLinux_1.5.4_b5ee727e-9722-4cc9-93d1-519758a1f774.scope']"
4,Mar,11,09:58:18,UbuntuApp,anacron[1455],Job `cron.daily' terminated,4994b3db,Job <*> terminated,"[""`cron.daily'""]"
5,Mar,11,10:02:39,UbuntuApp,systemd-resolved[1167],"Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.",8e99a18f,"Server returned error NXDOMAIN, mitigating potential DNS violation DVE-<*>-<*>, retrying transaction with reduced feature level UDP.",['2018-0001']
6,Mar,11,10:02:50,UbuntuApp,systemd-resolved[1167],"message repeated 2 times: [ Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.]",3035b695,"message repeated <*> times: [ Server returned error NXDOMAIN, mitigating potential DNS violation DVE-<*>-<*>, retrying transaction with reduced feature level UDP.]","['2', '2018-0001']"
7,Mar,11,10:03:10,UbuntuApp,anacron[1455],Job `cron.weekly' started,6e5dbedf,Job <*> started,"[""`cron.weekly'""]"
8,Mar,11,10:03:10,UbuntuApp,anacron[4609],Updated timestamp for job `cron.weekly' to 2020-03-11,9a1114e7,Updated timestamp for job <*> to <*>-<*>-<*>,"[""`cron.weekly'"", '2020', '03-11']"
9,Mar,11,10:03:11,UbuntuApp,anacron[1455],Job `cron.weekly' terminated,4994b3db,Job <*> terminated,"[""`cron.weekly'""]"
10,Mar,11,10:03:11,UbuntuApp,anacron[1455],Normal exit (2 jobs run),a4e1edf1,Normal exit (<*> <*> run),['2 jobs']
11,Mar,11,10:03:11,UbuntuApp,systemd[1],Started Run anacron jobs.,c56374aa,Started Run anacron jobs.,[]
12,Mar,11,10:03:11,UbuntuApp,anacron[4620],Anacron 2.3 started on 2020-03-11,a411189a,Anacron <*>.<*> started on <*>-<*>-<*>,"['2.3', '2020', '03-11']"
13,Mar,11,10:03:11,UbuntuApp,anacron[4620],Normal exit (0 jobs run),a4e1edf1,Normal exit (<*> <*> run),['0 jobs']
14,Mar,11,10:08:13,UbuntuApp,systemd[1],Starting Cleanup of Temporary Directories...,038a758d,Starting Cleanup of Temporary Directories...,[]
15,Mar,11,10:08:13,UbuntuApp,systemd[1],Started Cleanup of Temporary Directories.,20447797,Started Cleanup of Temporary Directories.,[]
16,Mar,11,10:08:15,UbuntuApp,python3[1825],2020/03/11 10:08:15.147740 INFO Daemon Agent WALinuxAgent-2.2.46 launched with command 'python3 -u bin/WALinuxAgent-2.2.46-py2.7.egg -run-exthandlers' is successfully running,56c29b88,2020/<*>/<*> <*>:<*>:<*>.<*> INFO Daemon Agent WALinuxAgent-<*>.<*>.<*> launched with command 'python3 -u bin/WALinuxAgent-<*>.<*>.<*>-py2.<*>.egg -run-exthandlers' is successfully running,"['03/11', '10', '08:15.147740', '2', '2.46', '2', '2.46', '7']"
17,Mar,11,10:09:01,UbuntuApp,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
18,Mar,11,10:09:01,UbuntuApp,CRON[5068],(root) CMD (  [ -x /usr/lib/php/sessionclean ] && if [ ! -d /run/systemd/system ]; then /usr/lib/php/sessionclean; fi),7f28379d,(root) CMD ( [ -x /usr/lib/php/sessionclean ] && if [ ! -d /run/systemd/system ]; then /usr/lib/php/sessionclean; fi),[]
19,Mar,11,10:09:01,UbuntuApp,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
20,Mar,11,10:17:01,UbuntuApp,CRON[5619],(root) CMD (   cd / && run-parts --report /etc/cron.hourly),c8b6b98e,(root) CMD ( cd / && run-parts --report /etc/cron.hourly),[]
21,Mar,11,10:24:25,UbuntuApp,xrdp[1823],(1823)(140114419967808)[INFO ] Socket 12: AF_INET6 connection received from ::ffff:13.94.132.146 port 1792,4bb3c20f,(<*>)(<*>)[INFO ] Socket <*>: AF_INET6 connection received from ::ffff:<*> port <*>,"['1823', '140114419967808', '12', '13.94.132.146', '1792']"
22,Mar,11,10:24:25,UbuntuApp,xrdp[1823],(1823)(140114419967808)[DEBUG] Closed socket 12 (AF_INET6 ::ffff:10.0.0.7 port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['1823', '140114419967808', '12', '::ffff:10.0.0.7', '3389']"
23,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[DEBUG] Closed socket 11 (AF_INET6 :: port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['6132', '140114419967808', '11', '::', '3389']"
24,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[INFO ] Using default X.509 certificate: /etc/xrdp/cert.pem,62d75164,(<*>)(<*>)[INFO ] Using default X.<*> certificate: /etc/xrdp/cert.pem,"['6132', '140114419967808', '509']"
25,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[INFO ] Using default X.509 key file: /etc/xrdp/key.pem,ae4159dc,(<*>)(<*>)[INFO ] Using default X.<*> key file: /etc/xrdp/key.pem,"['6132', '140114419967808', '509']"
26,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[ERROR] Cannot read private key file /etc/xrdp/key.pem: Permission denied,fcb7dfb9,(<*>)(<*>)[ERROR] Cannot read private key file /etc/xrdp/key.pem: Permission denied,"['6132', '140114419967808']"
27,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[DEBUG] TLSv1.2 enabled,aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,"['6132', '140114419967808', 'TLSv1.2']"
28,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[DEBUG] TLSv1.1 enabled,aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,"['6132', '140114419967808', 'TLSv1.1']"
29,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[DEBUG] TLSv1 enabled,aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,"['6132', '140114419967808', 'TLSv1']"
30,Mar,11,10:24:25,UbuntuApp,xrdp[6132],(6132)(140114419967808)[DEBUG] Closed socket 12 (AF_INET6 ::ffff:10.0.0.7 port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['6132', '140114419967808', '12', '::ffff:10.0.0.7', '3389']"
31,Mar,11,10:24:29,UbuntuApp,xrdp[1823],(1823)(140114419967808)[INFO ] Socket 12: AF_INET6 connection received from ::ffff:13.94.132.146 port 1793,4bb3c20f,(<*>)(<*>)[INFO ] Socket <*>: AF_INET6 connection received from ::ffff:<*> port <*>,"['1823', '140114419967808', '12', '13.94.132.146', '1793']"
32,Mar,11,10:24:29,UbuntuApp,xrdp[1823],(1823)(140114419967808)[DEBUG] Closed socket 12 (AF_INET6 ::ffff:10.0.0.7 port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['1823', '140114419967808', '12', '::ffff:10.0.0.7', '3389']"
33,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[DEBUG] Closed socket 11 (AF_INET6 :: port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['6146', '140114419967808', '11', '::', '3389']"
34,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[INFO ] Using default X.509 certificate: /etc/xrdp/cert.pem,62d75164,(<*>)(<*>)[INFO ] Using default X.<*> certificate: /etc/xrdp/cert.pem,"['6146', '140114419967808', '509']"
35,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[INFO ] Using default X.509 key file: /etc/xrdp/key.pem,ae4159dc,(<*>)(<*>)[INFO ] Using default X.<*> key file: /etc/xrdp/key.pem,"['6146', '140114419967808', '509']"
36,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[ERROR] Cannot read private key file /etc/xrdp/key.pem: Permission denied,fcb7dfb9,(<*>)(<*>)[ERROR] Cannot read private key file /etc/xrdp/key.pem: Permission denied,"['6146', '140114419967808']"
37,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[DEBUG] TLSv1.2 enabled,aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,"['6146', '140114419967808', 'TLSv1.2']"
38,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[DEBUG] TLSv1.1 enabled,aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,"['6146', '140114419967808', 'TLSv1.1']"
39,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[DEBUG] TLSv1 enabled,aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,"['6146', '140114419967808', 'TLSv1']"
40,Mar,11,10:24:29,UbuntuApp,xrdp[6146],(6146)(140114419967808)[DEBUG] Closed socket 12 (AF_INET6 ::ffff:10.0.0.7 port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['6146', '140114419967808', '12', '::ffff:10.0.0.7', '3389']"
41,Mar,11,10:24:29,UbuntuApp,xrdp[1823],(1823)(140114419967808)[INFO ] Socket 12: AF_INET6 connection received from ::ffff:13.94.132.146 port 1794,4bb3c20f,(<*>)(<*>)[INFO ] Socket <*>: AF_INET6 connection received from ::ffff:<*> port <*>,"['1823', '140114419967808', '12', '13.94.132.146', '1794']"
42,Mar,11,10:24:29,UbuntuApp,xrdp[1823],(1823)(140114419967808)[DEBUG] Closed socket 12 (AF_INET6 ::ffff:10.0.0.7 port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['1823', '140114419967808', '12', '::ffff:10.0.0.7', '3389']"
43,Mar,11,10:24:29,UbuntuApp,xrdp[6147],(6147)(140114419967808)[DEBUG] Closed socket 11 (AF_INET6 :: port 3389),53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),"['6147', '140114419967808', '11', '::', '3389']"
44,Mar,11,10:24:29,UbuntuApp,xrdp[6147],(6147)(140114419967808)[INFO ] Using default X.509 certificate: /etc/xrdp/cert.pem,62d75164,(<*>)(<*>)[INFO ] Using default X.<*> certificate: /etc/xrdp/cert.pem,"['6147', '140114419967808', '509']"
45,Mar,11,10:24:29,UbuntuApp,xrdp[6147],(6147)(140114419967808)[INFO ] Using default X.509 key file: /etc/xrdp/key.pem,ae4159dc,(<*>)(<*>)[INFO ] Using default X.<*> key file: /etc/xrdp/key.pem,"['6147', '140114419967808', '509']"
