EventId,EventTemplate,Occurrences
f11daa49,"[origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http://www.rsyslog.com""] rsyslogd was HUPed",2
a1ea949a,"<*> INFO ExtHandler Stopped tracking cgroup: Microsoft.OSTCExtensions.VMAccessForLinux-<*>.<*>.<*>, path: <*>",4
4994b3db,Job <*> terminated,3
8e99a18f,"Server returned error NXDOMAIN, mitigating potential DNS violation DVE-<*>-<*>, retrying transaction with reduced feature level UDP.",14
3035b695,"message repeated <*> times: [ Server returned error NXDOMAIN, mitigating potential DNS violation DVE-<*>-<*>, retrying transaction with reduced feature level UDP.]",2
6e5dbedf,Job <*> started,2
9a1114e7,Updated timestamp for job <*> to <*>-<*>-<*>,2
a4e1edf1,Normal exit (<*> <*> run),9
c56374aa,Started Run anacron jobs.,8
a411189a,Anacron <*>.<*> started on <*>-<*>-<*>,8
038a758d,Starting Cleanup of Temporary Directories...,2
20447797,Started Cleanup of Temporary Directories.,2
56c29b88,2020/<*>/<*> <*>:<*>:<*>.<*> INFO Daemon Agent WALinuxAgent-<*>.<*>.<*> launched with command 'python3 -u bin/WALinuxAgent-<*>.<*>.<*>-py2.<*>.egg -run-exthandlers' is successfully running,2
73f564e0,Starting Clean php session files...,16
7f28379d,(root) CMD ( [ -x /usr/lib/php/sessionclean ] && if [ ! -d /run/systemd/system ]; then /usr/lib/php/sessionclean; fi),15
6d8806bb,Started Clean php session files.,16
c8b6b98e,(root) CMD ( cd / && run-parts --report /etc/cron.hourly),7
4bb3c20f,(<*>)(<*>)[INFO ] Socket <*>: AF_INET6 connection received from ::ffff:<*> port <*>,34
53cf6e25,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_INET6 <*> port <*>),121
62d75164,(<*>)(<*>)[INFO ] Using default X.<*> certificate: /etc/xrdp/cert.pem,34
ae4159dc,(<*>)(<*>)[INFO ] Using default X.<*> key file: /etc/xrdp/key.pem,34
fcb7dfb9,(<*>)(<*>)[ERROR] Cannot read private key file /etc/xrdp/key.pem: Permission denied,34
aaa1d0ce,(<*>)(<*>)[DEBUG] <*> enabled,102
773b5f7d,"(<*>)(<*>)[DEBUG] Security layer: requested <*>, selected <*>",24
53090dd3,(<*>)(<*>)[INFO ] connected client computer name: <*>,6
24641664,(<*>)(<*>)[INFO ] Non-TLS connection established from ::ffff:<*> port <*>: encrypted with standard RDP security,6
187f8360,(<*>)(<*>)[DEBUG] <*>,14
ccdfab1f,(<*>)(<*>)[INFO ] Loading keymap file /etc/xrdp/km-<*>.ini,6
e0a1579b,"(<*>)(<*>)[WARN ] local keymap file for <*> found and doesn't match built in keymap, using local keymap file",6
b425e8bd,(<*>)(<*>)[DEBUG] Closed socket <*> (AF_UNIX),8
fed60bb0,[ <*>.<*>] hv_utils: Shutdown request received - graceful shutdown initiated,1
990f29b7,Stopped target <*> <*>,6
f7b4ee4f,Stopping User Manager for UID <*>...,4
77057d76,Stopping ACPI event daemon...,1
9ff97048,Closed Load/Save RF Kill Switch Status /dev/rfkill Watch.,1
fa7ab593,Stopping Accessibility services bus...,2
8f72dbf6,[ <*>.<*>] <*> <*> <*> enabled,5
b34d9d24,WARNING: Lost name on bus: org.gnome.SessionManager,1
ab6c9ed8,gnome-session-binary[<*>]: WARNING: Lost name on bus: org.gnome.SessionManager,1
35f6490a,"gnome-session-binary[<*>]: CRITICAL: We failed, but the fail whale is dead. Sorry....",1
230a32b4,Stopping Evolution <*> <*>,2
dde01ef5,"CRITICAL: We failed, but the fail whale is dead. Sorry....",1
44cfa83c,Stopping Evolution address book service...,1
ecfc528e,Stopping Virtual filesystem service - <*> <*> <*> monitor...,3
3e8d2473,Stopping Virtual filesystem service - <*> <*> monitor...,2
a5027086,Stopping GNOME <*> <*>,2
6b3c4980,Stopped target <*>,10
92bc8043,Stopping sandboxed app permission store...,2
197ae733,Stopping <*> <*> service...,2
39552eb9,Removed slice system-getty.slice.,1
f82c86ce,Owner of volume monitor <*> disconnected from the bus; removing drives/volumes/mounts,5
1df66539,Stopping /var/lib/waagent/Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux-<*>/./install.sh enable.,1
5db5c99d,Error releasing name org.freedesktop.portal.IBus: The connection is closed,1
4cf1dc97,Stopping D-Bus User Message Bus...,4
a0df826e,Stopped sandboxed app permission store.,2
5678e0c3,Stopped Virtual filesystem service - <*> <*> <*> monitor.,3
7da76490,Stopped Virtual filesystem service - <*> <*> monitor.,2
450fc14c,Unmounting /mnt...,1
2449c013,Stopping Session <*> of user <*>,2
6864f900,(<*>)(<*>)[INFO ] shutting down sesman <*>,1
cf4b3a36,Stopping RealtimeKit Scheduling Policy Service...,1
e2d83938,Stopping Daemon for power management...,1
ad11fb61,g_object_notify: object class <*> has no property named 'g-name-owner',3
f0b48134,Stopped Execute cloud user/final scripts.,1
97678628,Stopping PackageKit Daemon...,1
62368ab6,"Stopping Manage, Install and Generate Color Profiles...",1
c48f9811,Stopping Disk Manager...,1
2bf3ca8b,Stopping Sound Service...,1
938d1c42,(<*>)(<*>)[WARN ] receiving SIGHUP <*>,1
96c24eaa,udisks daemon version <*>.<*>.<*> <*>,2
2af85575,Stopping OpenBSD Secure Shell server...,1
5443a48e,Stopping LXD - container startup/shutdown...,1
8fd364c5,(**) Option <*> <*>,23
08a1f5f9,(II) event3 - Microsoft Vmbus HID-compliant Mouse: device removed,2
f18e26c4,(II) event0 - Power Button: device removed,2
ea108826,(II) <*> - AT Translated Set <*> keyboard: device removed,4
401d81e4,Stopping vsftpd FTP server...,1
7dd66087,(II) UnloadModule: <*>,3
2758b416,(II) systemd-logind: releasing fd for <*>:<*>,1
417f62b7,"(<*>)(<*>)[CORE ] window manager (pid <*>) did exit, cleaning up session",1
484dc364,(<*>)(<*>)[INFO ] calling auth_stop_session and auth_end from pid <*>,1
e5432bfb,Stopping LSB: Record successful boot for GRUB...,1
dbdfd833,Stopped Sound Service.,1
a8f51090,"xdg-permission-store.service: Main process exited, code=exited, status=<*>/FAILURE",1
6db65356,xdg-permission-store.service: Failed with result 'exit-code'.,1
331a04d5,Stopped D-Bus User Message Bus.,4
a229b9dc,Stopping MySQL Community Server...,1
bf176dbe,Stopping The Apache HTTP Server...,1
