EventId,EventTemplate,Occurrences
e2797d68,op=start ver=<*>.<*>.<*> format=raw kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=success,4
19eb6545,audit_backlog_limit=<*> old=<*> auid=<*> ses=<*> res=<*>,4
86c6192b,audit_failure=<*> old=<*> auid=<*> ses=<*> res=<*>,4
90cf8960,audit_backlog_wait_time=<*> old=<*> auid=<*> ses=<*> res=<*>,4
b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,393
0cae8171,"pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> exe=""/usr/sbin/sshd"" <*> addr=<*> <*> <*>",10
8f349445,op=terminate auid=<*> pid=<*> subj= res=success,3
77b98999,"apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" <*> pid=<*> comm=""apparmor_parser""",30
10851a30,table=security family=<*> entries=<*>,20
d7793fe5,"pid=<*> uid=<*> auid=<*> ses=<*> msg='old-level=N new-level=<*> comm=""systemd-update-utmp"" exe=""/lib/systemd/systemd-update-utmp"" hostname=? addr=? terminal=? res=success'",2
5690cd83,pid=<*> uid=<*> old-auid=<*> auid=<*> tty=(none) old-ses=<*> ses=<*> res=<*>,8
07c55731,"pid=<*> uid=<*> auid=<*> ses=<*> msg='cwd=""/home/jdoe"" <*> terminal=pts/<*> res=success'",11
e7fed54a,"auid=<*> ses=<*> op=add_rule key=""home"" list=<*> res=<*>",2
b4cc6266,arch=c000003e syscall=<*> <*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,4877
bede923b,"cwd=""/home/jdoe""",4783
73d5134d,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,10132
82f14ed8,proctitle=7375646F00617564697463746C002D6C,2
84c4ac86,proctitle=69707461626C6573002D77002D74007365637572697479002D4C004F5554505554002D2D7A65726F004F5554505554002D6E<*>,13
e558b054,"proctitle=""bash""",1
6cfd83c2,"name=""iptable_security""",1
eeb56e84,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D0069707461626C655F<*>,1
d46a2bc1,proctitle=69707461626C6573002D77002D74007365637572697479002D41004F5554505554002D64003136382E36332E3132392E3136002D7000746370002D6D006F776E6572002D2D7569642D6F776E65720030002D6A<*>,1
c55634be,proctitle=69707461626C6573002D77002D74007365637572697479002D41004F5554505554002D64003136382E36332E3132392E3136002D7000746370002D6D00636F6E6E747261636B002D2D6374737461746500494E56414C49442C4E4557002D6A0044524F<*>,1
4e35aee4,proctitle=7861757468002D71002D66002E58617574686F7269747900616464003A3130002E<*>,9
6e18603f,proctitle=2F7573722F6C69622F786F72672F586F7267003A3130002D61757468002E58617574686F72697479002D636F6E66696700787264702F786F72672E636F6E66002D6E6F7265736574002D6E6F6C697374656E00746370002D6C6F6766696C65002E786F7267787264702E25732E6C6F<*>,2
c4e8cb76,proctitle=746F756368002F686F6D652F6A646F652F2E7873657373696F6E2D6572726F<*>,1
299c0a9a,"proctitle=""/usr/sbin/xrdp-chansrv""",11
db4e4626,proctitle=2F62696E2F7368002F6574632F5831312F5873657373696F6E,1
19d461d4,saddr=01002F686F6D652F6A646F652F2E7063736331302F70637363642E636F6D6D<*>,2
7a12ca58,"proctitle=""xfce4-session""",11
f849cbff,"proctitle=""/usr/lib/x86_<*>-linux-gnu/xfce4/xfconf/xfconfd""",14
4330335c,proctitle=2F7573722F62696E2F6963656175746800736F75726365002F746D702F2E7866736D2D4943452D4A574C<*>,9
b918f8d9,proctitle=5468756E6172002D2D6461656D6F6E,29
e070f1af,"proctitle=""xfwm4""",7
8e1e0274,"cwd=""/""",1
a04ff662,proctitle=2F7573722F62696E2F70756C7365617564696F002D2D7374617274002D2D6C6F672D7461726765743D7379736C6F<*>,1
67a52f9b,"proctitle=""xfce4-panel""",7
db320942,"proctitle=""xfdesktop""",7
313e50cc,proctitle=2F7573722F6C69622F7838365F36342D6C696E75782D676E752F78666365342F65786F2D312F65786F2D68656C7065722D31002D2D6C61756E6368005465726D696E616C456D756C61746F<*>,21
460a00d7,proctitle=2F7573722F6C69622F7838365F36342D6C696E75782D676E752F78666365342F65786F2D312F65786F2D68656C7065722D31002D2D6C61756E63680057656242726F<*>,7
0bb838a4,"proctitle=""/usr/lib/firefox/firefox""",4491
310479df,item=<*> <*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,3
77e0b049,proctitle=7375646F0061707400696E7374616C6C0066696C657A696C6C<*>,1
a3042561,"proctitle=""filezilla""",157
6783642b,"cwd=""/home/jdoe/Documents""",74
a67317ee,proctitle=76696D002F686F6D652F6A646F652F446F63756D656E74732F5265706F7274735F323031392E<*>,22
6356fc3d,proctitle=76696D002F686F6D652F6A646F652F446F63756D656E74732F5265706F7274735F323032302E<*>,38
c444993a,"proctitle=""/usr/lib/x86_<*>-linux-gnu/xfce4/notifyd/xfce4-notifyd""",7
99e8c799,"argc=<*> a0=""/bin/bash"" a1=""./Report_<*>.sh""",1
da2df893,proctitle=2F62696E2F62617368002E2F5265706F72745F323032302E<*>,1
e1ee4339,proctitle=77676574006578616D706C652E636F6D3F693D616D52765A5341784D4334774C6A41754E676F3D,1
955f853d,"cwd=""/var/log/audit""",3
8038aec5,proctitle=6E616E6F0061756469742E6C6F<*>,3
