LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Mar,9,10:40:57,Client01,useradd[1136],"new group: name=jdoe, GID=1000",724c882e,new group: <*> GID=<*>,"['name=jdoe,', '1000']"
2,Mar,9,10:40:57,Client01,useradd[1136],"new user: name=jdoe, UID=1000, GID=1000, home=/home/jdoe, shell=/bin/bash",74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>","['name=jdoe,', '1000', '1000', 'home=/home/jdoe, shell=/bin/bash']"
3,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'adm',d6a93616,add 'jdoe' to group <*>,"[""'adm'""]"
4,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'dialout',d6a93616,add 'jdoe' to group <*>,"[""'dialout'""]"
5,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'cdrom',d6a93616,add 'jdoe' to group <*>,"[""'cdrom'""]"
6,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'floppy',d6a93616,add 'jdoe' to group <*>,"[""'floppy'""]"
7,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'sudo',d6a93616,add 'jdoe' to group <*>,"[""'sudo'""]"
8,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'audio',d6a93616,add 'jdoe' to group <*>,"[""'audio'""]"
9,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'dip',d6a93616,add 'jdoe' to group <*>,"[""'dip'""]"
10,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'video',d6a93616,add 'jdoe' to group <*>,"[""'video'""]"
11,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'plugdev',d6a93616,add 'jdoe' to group <*>,"[""'plugdev'""]"
12,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'lxd',d6a93616,add 'jdoe' to group <*>,"[""'lxd'""]"
13,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to group 'netdev',d6a93616,add 'jdoe' to group <*>,"[""'netdev'""]"
14,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'adm',11b5f432,add 'jdoe' to shadow group <*>,"[""'adm'""]"
15,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'dialout',11b5f432,add 'jdoe' to shadow group <*>,"[""'dialout'""]"
16,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'cdrom',11b5f432,add 'jdoe' to shadow group <*>,"[""'cdrom'""]"
17,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'floppy',11b5f432,add 'jdoe' to shadow group <*>,"[""'floppy'""]"
18,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'sudo',11b5f432,add 'jdoe' to shadow group <*>,"[""'sudo'""]"
19,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'audio',11b5f432,add 'jdoe' to shadow group <*>,"[""'audio'""]"
20,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'dip',11b5f432,add 'jdoe' to shadow group <*>,"[""'dip'""]"
21,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'video',11b5f432,add 'jdoe' to shadow group <*>,"[""'video'""]"
22,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'plugdev',11b5f432,add 'jdoe' to shadow group <*>,"[""'plugdev'""]"
23,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'lxd',11b5f432,add 'jdoe' to shadow group <*>,"[""'lxd'""]"
24,Mar,9,10:40:57,Client01,useradd[1136],add 'jdoe' to shadow group 'netdev',11b5f432,add 'jdoe' to shadow group <*>,"[""'netdev'""]"
25,Mar,9,10:40:57,Client01,systemd-logind[1214],New seat seat0.,f2bb95c7,New seat seat0.,[]
26,Mar,9,10:40:57,Client01,systemd-logind[1214],Watching system buttons on /dev/input/event0 (Power Button),52d4ae92,Watching system buttons on /dev/input/event0 (Power Button),[]
27,Mar,9,10:40:57,Client01,systemd-logind[1214],Watching system buttons on /dev/input/event2 (AT Translated Set 2 keyboard),daa8ad92,Watching system buttons on <*> (AT Translated Set <*> keyboard),"['/dev/input/event2', '2']"
28,Mar,9,10:40:57,Client01,systemd-logind[1214],Watching system buttons on /dev/input/event1 (AT Translated Set 2 keyboard),daa8ad92,Watching system buttons on <*> (AT Translated Set <*> keyboard),"['/dev/input/event1', '2']"
29,Mar,9,10:40:58,Client01,sshd[1441],Server listening on 0.0.0.0 port 22.,8938d159,Server listening on <*> port <*>.,"['0.0.0.0', '22']"
30,Mar,9,10:40:58,Client01,sshd[1441],Server listening on :: port 22.,8938d159,Server listening on <*> port <*>.,"['::', '22']"
31,Mar,9,10:41:01,Client01,sshd[1441],Received signal 15; terminating.,903531a0,Received signal <*>; terminating.,['15']
32,Mar,9,10:41:01,Client01,sshd[1730],Server listening on 0.0.0.0 port 22.,8938d159,Server listening on <*> port <*>.,"['0.0.0.0', '22']"
33,Mar,9,10:41:01,Client01,sshd[1730],Server listening on :: port 22.,8938d159,Server listening on <*> port <*>.,"['::', '22']"
34,Mar,9,10:51:37,Client01,sshd[2415],Accepted password for jdoe from 185.81.215.145 port 51031 ssh2,aec89abf,Accepted password for jdoe from <*> port <*> ssh<*>,"['185.81.215.145', '51031', '2']"
35,Mar,9,10:51:37,Client01,sshd[2415],pam_unix(sshd:session): session opened for user jdoe by (uid=0),3bc15242,pam_unix(sshd:session): session opened for user jdoe by (uid=<*>),['0']
36,Mar,9,10:51:37,Client01,systemd,pam_unix(systemd-user:session): session opened for user jdoe by (uid=0),308f3c02,pam_unix(systemd-user:session): session opened for user jdoe by (uid=<*>),['0']
37,Mar,9,10:51:37,Client01,systemd-logind[1214],New session 1 of user jdoe.,2c0fcf3b,New session <*> of user jdoe.,['1']
38,Mar,9,10:55:58,Client01,sudo,jdoe : TTY=pts/0 ; PWD=/home/jdoe ; USER=root ; COMMAND=/usr/bin/apt-get -y install xrdp,f0f78560,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; USER=root ; COMMAND=/usr/bin/apt-get <*> <*> <*>,"['0', '-y', 'install xrdp']"
39,Mar,9,10:55:58,Client01,sudo,pam_unix(sudo:session): session opened for user root by jdoe(uid=0),d5216419,pam_unix(sudo:session): session opened for user root by <*>,['jdoe(uid=0)']
40,Mar,9,10:55:58,Client01,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
41,Mar,9,10:56:26,Client01,sudo,jdoe : TTY=pts/0 ; PWD=/home/jdoe ; USER=root ; COMMAND=/usr/bin/apt update,9cfba4f1,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; USER=root ; <*> <*>,"['0', 'COMMAND=/usr/bin/apt update']"
42,Mar,9,10:56:26,Client01,sudo,pam_unix(sudo:session): session opened for user root by jdoe(uid=0),d5216419,pam_unix(sudo:session): session opened for user root by <*>,['jdoe(uid=0)']
43,Mar,9,10:56:35,Client01,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
44,Mar,9,10:56:51,Client01,sudo,jdoe : TTY=pts/0 ; PWD=/home/jdoe ; USER=root ; COMMAND=/usr/bin/apt-get install xfce4,3fabd3d6,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; USER=root ; <*> <*> <*>,"['0', 'COMMAND=/usr/bin/apt-get', 'install xfce4']"
45,Mar,9,10:56:51,Client01,sudo,pam_unix(sudo:session): session opened for user root by jdoe(uid=0),d5216419,pam_unix(sudo:session): session opened for user root by <*>,['jdoe(uid=0)']
46,Mar,9,10:59:18,Client01,groupadd[7271],"group added to /etc/group: name=rtkit, GID=115",b72edb09,group added to /etc/group: <*> GID=<*>,"['name=rtkit,', '115']"
47,Mar,9,10:59:18,Client01,groupadd[7271],group added to /etc/gshadow: name=rtkit,7b1cd48d,group added to /etc/gshadow: <*>,['name=rtkit']
48,Mar,9,10:59:18,Client01,groupadd[7271],"new group: name=rtkit, GID=115",724c882e,new group: <*> GID=<*>,"['name=rtkit,', '115']"
49,Mar,9,10:59:18,Client01,useradd[7275],"new user: name=rtkit, UID=111, GID=115, home=/proc, shell=/usr/sbin/nologin",74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>","['name=rtkit,', '111', '115', 'home=/proc, shell=/usr/sbin/nologin']"
50,Mar,9,10:59:18,Client01,usermod[7281],change user 'rtkit' password,c1056d3a,change user <*> password,"[""'rtkit'""]"
51,Mar,9,10:59:18,Client01,chage[7286],changed password expiry for rtkit,82466679,changed password expiry for <*>,['rtkit']
52,Mar,9,10:59:18,Client01,chfn[7289],changed user 'rtkit' information,5bd4dea5,changed user <*> information,"[""'rtkit'""]"
53,Mar,9,10:59:23,Client01,useradd[7465],"new user: name=usbmux, UID=112, GID=46, home=/var/lib/usbmux, shell=/usr/sbin/nologin",74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>","['name=usbmux,', '112', '46', 'home=/var/lib/usbmux, shell=/usr/sbin/nologin']"
54,Mar,9,10:59:23,Client01,usermod[7471],change user 'usbmux' password,c1056d3a,change user <*> password,"[""'usbmux'""]"
55,Mar,9,10:59:23,Client01,chage[7476],changed password expiry for usbmux,82466679,changed password expiry for <*>,['usbmux']
56,Mar,9,10:59:23,Client01,chfn[7479],changed user 'usbmux' information,5bd4dea5,changed user <*> information,"[""'usbmux'""]"
57,Mar,9,10:59:37,Client01,groupadd[7824],"group added to /etc/group: name=pulse, GID=116",b72edb09,group added to /etc/group: <*> GID=<*>,"['name=pulse,', '116']"
58,Mar,9,10:59:37,Client01,groupadd[7824],group added to /etc/gshadow: name=pulse,7b1cd48d,group added to /etc/gshadow: <*>,['name=pulse']
59,Mar,9,10:59:37,Client01,groupadd[7824],"new group: name=pulse, GID=116",724c882e,new group: <*> GID=<*>,"['name=pulse,', '116']"
60,Mar,9,10:59:37,Client01,useradd[7828],"new user: name=pulse, UID=113, GID=116, home=/var/run/pulse, shell=/usr/sbin/nologin",74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>","['name=pulse,', '113', '116', 'home=/var/run/pulse, shell=/usr/sbin/nologin']"
61,Mar,9,10:59:38,Client01,usermod[7834],change user 'pulse' password,c1056d3a,change user <*> password,"[""'pulse'""]"
62,Mar,9,10:59:38,Client01,chage[7839],changed password expiry for pulse,82466679,changed password expiry for <*>,['pulse']
63,Mar,9,10:59:38,Client01,chfn[7842],changed user 'pulse' information,5bd4dea5,changed user <*> information,"[""'pulse'""]"
64,Mar,9,10:59:38,Client01,gpasswd[7847],user pulse added by root to group audio,f7e3b1ce,user pulse added by root to group audio,[]
65,Mar,9,10:59:38,Client01,groupadd[7853],"group added to /etc/group: name=pulse-access, GID=117",b72edb09,group added to /etc/group: <*> GID=<*>,"['name=pulse-access,', '117']"
66,Mar,9,10:59:38,Client01,groupadd[7853],group added to /etc/gshadow: name=pulse-access,7b1cd48d,group added to /etc/gshadow: <*>,['name=pulse-access']
67,Mar,9,10:59:38,Client01,groupadd[7853],"new group: name=pulse-access, GID=117",724c882e,new group: <*> GID=<*>,"['name=pulse-access,', '117']"
68,Mar,9,11:00:47,Client01,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
69,Mar,9,11:17:01,Client01,CRON[26953],pam_unix(cron:session): session opened for user root by (uid=0),c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),['0']
70,Mar,9,11:17:01,Client01,CRON[26953],pam_unix(cron:session): session closed for user root,6e704123,pam_unix(cron:session): session closed for user root,[]
71,Mar,9,11:40:15,Client01,sudo,jdoe : TTY=pts/0 ; PWD=/home/jdoe ; USER=root ; COMMAND=/usr/bin/apt-get -y install xrdp,f0f78560,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; USER=root ; COMMAND=/usr/bin/apt-get <*> <*> <*>,"['0', '-y', 'install xrdp']"
72,Mar,9,11:40:15,Client01,sudo,pam_unix(sudo:session): session opened for user root by jdoe(uid=0),d5216419,pam_unix(sudo:session): session opened for user root by <*>,['jdoe(uid=0)']
73,Mar,9,11:40:17,Client01,groupadd[28359],"group added to /etc/group: name=ssl-cert, GID=118",b72edb09,group added to /etc/group: <*> GID=<*>,"['name=ssl-cert,', '118']"
74,Mar,9,11:40:17,Client01,groupadd[28359],group added to /etc/gshadow: name=ssl-cert,7b1cd48d,group added to /etc/gshadow: <*>,['name=ssl-cert']
75,Mar,9,11:40:17,Client01,groupadd[28359],"new group: name=ssl-cert, GID=118",724c882e,new group: <*> GID=<*>,"['name=ssl-cert,', '118']"
76,Mar,9,11:40:18,Client01,groupadd[28383],"group added to /etc/group: name=xrdp, GID=119",b72edb09,group added to /etc/group: <*> GID=<*>,"['name=xrdp,', '119']"
77,Mar,9,11:40:18,Client01,groupadd[28383],group added to /etc/gshadow: name=xrdp,7b1cd48d,group added to /etc/gshadow: <*>,['name=xrdp']
78,Mar,9,11:40:18,Client01,groupadd[28383],"new group: name=xrdp, GID=119",724c882e,new group: <*> GID=<*>,"['name=xrdp,', '119']"
79,Mar,9,11:40:18,Client01,useradd[28387],"new user: name=xrdp, UID=114, GID=119, home=/var/run/xrdp, shell=/usr/sbin/nologin",74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>","['name=xrdp,', '114', '119', 'home=/var/run/xrdp, shell=/usr/sbin/nologin']"
80,Mar,9,11:40:18,Client01,chage[28393],changed password expiry for xrdp,82466679,changed password expiry for <*>,['xrdp']
81,Mar,9,11:40:23,Client01,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
82,Mar,9,11:42:22,Client01,sudo,jdoe : TTY=pts/0 ; PWD=/home/jdoe ; USER=root ; COMMAND=/bin/systemctl enable xrdp,3fabd3d6,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; USER=root ; <*> <*> <*>,"['0', 'COMMAND=/bin/systemctl', 'enable xrdp']"
83,Mar,9,11:42:22,Client01,sudo,pam_unix(sudo:session): session opened for user root by jdoe(uid=0),d5216419,pam_unix(sudo:session): session opened for user root by <*>,['jdoe(uid=0)']
84,Mar,9,11:42:22,Client01,sudo,pam_unix(sudo:session): session closed for user root,8b428b11,pam_unix(sudo:session): session closed for user root,[]
