EventId,EventTemplate,Occurrences
be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),3
114429ff,[ <*>.<*>] Command line: BOOT_IMAGE=/boot/vmlinuz-<*>.<*>.<*>-<*>-azure root=UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df ro console=tty1 console=ttyS0 earlyprintk=ttyS0 rootdelay=<*>,3
965b1ec6,[ <*>.<*>] KERNEL supported cpus:,3
936b8562,[ <*>.<*>] <*> <*>,90
fde341ba,[ <*>.<*>] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers',3
a6660de3,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> <*>,14
21239b8b,[ <*>.<*>] x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers',2
94e7a6df,"[ <*>.<*>] x86/fpu: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",13
51ae9b48,"[ <*>.<*>] x86/fpu: Enabled xstate features <*> context size is <*> bytes, using <*> format.",3
679f5927,[ <*>.<*>] BIOS-provided physical RAM map:,3
d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,15
976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,6
8f72dbf6,[ <*>.<*>] <*> <*> <*> enabled,12
a2cd9fdb,[ <*>.<*>] NX (Execute Disable) protection: active,3
271e8bd5,[ <*>.<*>] SMBIOS <*>.<*> present.,3
b20e8a2e,"[ <*>.<*>] DMI: Microsoft Corporation Virtual Machine/Virtual Machine, BIOS <*> <*>/<*>/<*>",3
91ab13e8,[ <*>.<*>] Hypervisor detected: Microsoft Hyper-V,3
9d9bfdd0,"[ <*>.<*>] Hyper-V: features 0x2e7f, hints 0x44c2c",3
e41e7a65,[ <*>.<*>] Hyper-V Host Build:<*>-<*>.<*>-<*>-<*>.<*>,3
14bf15a5,[ <*>.<*>] Hyper-V: LAPIC Timer Frequency: 0xc<*>,3
eaf7708b,[ <*>.<*>] tsc: Marking TSC unstable due to running on Hyper-V,3
db4f6103,[ <*>.<*>] Hyper-V: Using hypercall for remote TLB flush,3
835ab552,[ <*>.<*>] tsc: Detected <*>.<*> MHz processor,3
7f8f754f,[ <*>.<*>] e820: update [mem <*> usable ==> reserved,6
1f70e9aa,[ <*>.<*>] e820: remove [mem 0x000a0000-0x000fffff] usable,3
893b62e4,[ <*>.<*>] last_pfn = <*> max_arch_pfn = 0x<*>,6
1dbe8e7a,[ <*>.<*>] MTRR <*> <*> <*>,9
d1b7c0bc,[ <*>.<*>] <*> base <*> mask <*> write-back,6
5414a551,[ <*>.<*>] x86/PAT: Configuration [<*>-<*>]: WB WC UC- UC WB WP UC- WT,3
849f346f,[ <*>.<*>] found SMP MP-table at [mem 0x000ff780-0x000ff78f],3
5b3d4674,[ <*>.<*>] check: Scanning <*> areas for low memory corruption,3
f6c22858,[ <*>.<*>] Using GB pages for direct mapping,3
bd206d38,[ <*>.<*>] BRK <*> <*> PGTABLE,14
1c598435,[ <*>.<*>] <*> [mem <*>,12
5e4615b4,[ <*>.<*>] ACPI: Early table checksum verification disabled,3
ef90a7c4,[ <*>.<*>] ACPI: RSDP 0x00000000000F5BF0 <*> (v00 ACPIAM),3
99b568dc,[ <*>.<*>] ACPI: <*> <*> <*> <*> VRTUAL MICROSFT <*> MSFT <*>),24
55f70f8e,[ <*>.<*>] ACPI: DSDT 0x000000003FFF1D24 003CBE (v01 MSFTVM MSFTVM02 <*> INTL <*>),3
384a7d61,[ <*>.<*>] ACPI: <*> <*> <*>,18
33c2304b,[ <*>.<*>] ACPI: Local APIC address 0xfee<*>,6
3a0052b7,[ <*>.<*>] SRAT: PXM <*> -> APIC <*> -> Node <*>,6
59806dab,[ <*>.<*>] ACPI: SRAT: Node <*> PXM <*> [mem <*> hotplug,18
2149b3b0,[ <*>.<*>] NUMA: Node <*> [mem 0x00000000-0x3fffffff] + [mem 0x100000000-0x2bfffffff] -> [mem 0x00000000-0x2bfffffff],3
b6667f9b,[ <*>.<*>] <*> <*> [mem <*>,12
64c52242,[ <*>.<*>] Movable zone start for each node,3
a091d2c8,[ <*>.<*>] Early memory node ranges,3
466785ab,[ <*>.<*>] Zeroed struct page in unavailable ranges: <*> pages,3
9b9613f5,[ <*>.<*>] Initmem setup node <*> [mem 0x0000000000001000-0x00000002bfffffff],3
6d7e682c,[ <*>.<*>] On node <*> totalpages: <*>,3
8f605fdb,[ <*>.<*>] <*> zone: <*> pages used for memmap,9
4f135b04,[ <*>.<*>] DMA zone: <*> pages reserved,3
c61c09e1,"[ <*>.<*>] <*> zone: <*> pages, LIFO batch:<*>",9
b78b9daf,[ <*>.<*>] ACPI: PM-Timer IO Port: 0x<*>,3
dd7dce95,[ <*>.<*>] ACPI: LAPIC_NMI (acpi_id[0xff] dfl dfl lint[0x1]),3
a7e15138,"[ <*>.<*>] IOAPIC[<*>]: apic_id <*>, version <*>, address 0xfec00000, GSI <*>-<*>",3
14e2150c,[ <*>.<*>] ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>,6
908df579,[ <*>.<*>] ACPI: <*> used by override.,6
2d06faa7,[ <*>.<*>] Using ACPI (MADT) for SMP configuration information,3
9b8c143d,"[ <*>.<*>] smpboot: Allowing <*> CPUs, <*> hotplug CPUs",3
adb3b7e0,[ <*>.<*>] PM: Registered nosave memory: [mem <*>,21
3f07a14b,[ <*>.<*>] [mem 0x40000000-0xffffffff] available for PCI devices,3
8d50c11c,[ <*>.<*>] Booting paravirtualized kernel on bare hardware,3
86aa80c1,[ <*>.<*>] clocksource: <*> mask: <*> max_cycles: <*> max_idle_ns: <*> ns,12
443bf847,[ <*>.<*>] random: get_random_bytes called from start_kernel+0x93/0x503 with crng_init=<*>,3
179bb8e8,[ <*>.<*>] setup_percpu: NR_CPUS:<*> nr_cpumask_bits:<*> nr_cpu_ids:<*> nr_node_ids:<*>,3
e239aa8c,[ <*>.<*>] percpu: Embedded <*> pages/cpu s147456 r8192 d28672 u<*>,3
9389e3c2,[ <*>.<*>] pcpu-alloc: s147456 r8192 d28672 u262144 alloc=<*>*<*>,3
30022ec8,[ <*>.<*>] pcpu-alloc: [<*>] <*> <*> <*> <*> <*> <*> <*> <*>,48
e2564448,"[ <*>.<*>] <*> <*> hash table entries: <*> <*> <*>, <*> bytes)",15
6111a56b,"[ <*>.<*>] Built <*> zonelists, mobility grouping on. Total pages: <*>",3
fea59dea,[ <*>.<*>] Policy zone: Normal,3
96f4d3c0,[ <*>.<*>] Kernel command line: BOOT_IMAGE=/boot/vmlinuz-<*>.<*>.<*>-<*>-azure root=UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df ro console=tty1 console=ttyS0 earlyprintk=ttyS0 rootdelay=<*>,3
4bf266f9,[ <*>.<*>] printk: log_buf_len individual max cpu contribution: <*> bytes,3
