EventId,EventTemplate,Occurrences
e2d09e15,Inserted module <*>,6
e1db1317,Starting Flush Journal to Persistent Storage...,3
f844a46d,cannot open file /run/tmpkbd.DULnWm,3
2ac0e54c,Started udev Coldplug all Devices.,3
162521f7,Started LVM2 metadata daemon.,3
11aa1702,Started Create Static Device Nodes in /dev.,3
22110ed5,Starting udev Kernel Device Manager...,3
92499399,"Started Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling.",3
f95692bb,Started <*> Kernel <*>,5
40de610b,Mounting <*> <*> File System...,4
96c375ea,Starting Apply Kernel Variables...,2
737d7ce7,Mounted <*> <*> File System.,4
7a4412e1,Started Flush Journal to Persistent Storage.,3
0964e582,Started udev Kernel Device Manager.,3
b4c65ba8,"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",6
07b8c44b,Found device <*>,6
5ca53dd5,Listening on Load/Save RF Kill Switch Status /dev/rfkill Watch.,3
af718609,Started Hyper-V <*> Protocol Daemon.,6
5c47e00b,KVP starting; pid is:<*>,3
ab48c2c2,KVP LIC Version: <*>.<*>,3
046d6255,Started Set the console keyboard layout.,3
46c291bc,Reached target <*> File Systems (Pre).,6
2e7c532c,Started Dispatch Password Requests to Console Directory Watch.,3
34b1ff8d,Reached target Local <*> <*>,4
aba829c1,Found device Virtual_Disk <*>,5
4b01651f,Mounting /boot/efi...,3
eb46e2d7,Mounted /boot/efi.,3
5be8af45,Starting Set console font and keymap...,3
553b6ace,Starting Create Volatile Files and Directories...,3
cf714a33,Starting ebtables ruleset management...,3
0ef14e86,Starting Tell Plymouth To Write Out Runtime Data...,5
c28ff93c,Starting AppArmor initialization...,3
46a50284,Starting Commit a transient machine-id on disk...,1
789c1938,Started Set console font and keymap.,3
0dce4002,Started Create Volatile Files and Directories.,3
efe6c9f1,Starting Network <*> <*>,6
49f78a1f,Starting Update UTMP about System Boot/Shutdown...,3
6c9f2ba4,Started Tell Plymouth To Write Out Runtime Data.,5
23674c1b,Started Update UTMP about System Boot/Shutdown.,3
e752b074,Started Commit a transient machine-id on disk.,1
5ec4b9d4,* Starting AppArmor profiles,3
556c2007,Started ebtables ruleset management.,3
19632b36,Started Network <*> <*>,6
f1929b07,Reached target System Time Synchronized.,3
48b736f2,Skipping profile in /etc/apparmor.d/disable: <*>,5
5917eca7,...done.,9
0996564c,Started AppArmor initialization.,3
e78729f5,Starting Initial cloud-init job (pre-networking)...,3
70e76c7a,+ [ -e /var/lib/cloud/instance/obj.pkl ],3
c5c10621,+ exit <*>,3
06949766,Internet Systems Consortium DHCP Client <*>.<*>.<*>,5
bc90b480,Copyright <*>-<*> Internet Systems Consortium.,5
1efc109b,All rights reserved.,5
137389d4,"For info, please visit https://www.isc.org/software/dhcp/",5
af5c8c31,Listening on LPF/eth0/<*>:0d:3a:<*>:0d:5e,5
bbadc51a,Sending on <*>,10
8692bb20,DHCPDISCOVER on eth0 to <*> port <*> interval <*> <*>,5
11199ca5,DHCPREQUEST of <*> on eth0 to <*> port <*> <*>,5
be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),3
82041fd7,DHCPOFFER of <*> from <*>,5
151a0778,DHCPACK of <*> from <*>,5
114429ff,[ <*>.<*>] Command line: BOOT_IMAGE=/boot/vmlinuz-<*>.<*>.<*>-<*>-azure root=UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df ro console=tty1 console=ttyS0 earlyprintk=ttyS0 rootdelay=<*>,3
965b1ec6,[ <*>.<*>] KERNEL supported cpus:,3
936b8562,[ <*>.<*>] <*> <*>,90
032e2c6f,bound to <*> -- renewal in <*> seconds.,5
fde341ba,[ <*>.<*>] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers',3
9719122c,Cloud-init v. <*>.<*>-<*>-gbb4131a2-0ubuntu1~<*>.<*>.<*> running <*> at <*> <*> Mar <*> <*>:<*>:<*> <*>. Up <*>.<*> seconds.,12
a6660de3,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> <*>,14
21239b8b,[ <*>.<*>] x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers',2
4d107eed,Started Initial cloud-init job (pre-networking).,3
3f508636,Reached target <*> <*>,27
94e7a6df,"[ <*>.<*>] x86/fpu: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",13
2e322db0,Starting <*> Service...,9
d7e5ae8a,Enumeration completed,3
51ae9b48,"[ <*>.<*>] x86/fpu: Enabled xstate features <*> context size is <*> bytes, using <*> format.",3
679f5927,[ <*>.<*>] BIOS-provided physical RAM map:,3
d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,15
f4377478,eth0: Link <*>,13
