LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Mar,9,10:51:43,Client02,kernel,[    0.000000] Linux version 5.0.0-1032-azure (buildd@lcy01-amd64-016) (gcc version 7.4.0 (Ubuntu 7.4.0-1ubuntu1~18.04.1)) #34-Ubuntu SMP Mon Feb 10 19:37:25 UTC 2020 (Ubuntu 5.0.0-1032.34-azure 5.0.21),be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),"['0.000000', '5', '0.0-1032', '016', '7', '4.0', '7', '4.0', '18', '04.1', '34', '10 19', '37:25', '2020', '5', '0', '0-1032.34', '5', '0.21']"
2,Mar,9,10:51:43,Client02,kernel,[    0.000000] Command line: BOOT_IMAGE=/boot/vmlinuz-5.0.0-1032-azure root=UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df ro console=tty1 console=ttyS0 earlyprintk=ttyS0 rootdelay=300,114429ff,[ <*>.<*>] Command line: BOOT_IMAGE=/boot/vmlinuz-<*>.<*>.<*>-<*>-azure root=UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df ro console=tty1 console=ttyS0 earlyprintk=ttyS0 rootdelay=<*>,"['0.000000', '5', '0.0-1032', '300']"
3,Mar,9,10:51:43,Client02,kernel,[    0.000000] KERNEL supported cpus:,965b1ec6,[ <*>.<*>] KERNEL supported cpus:,['0.000000']
4,Mar,9,10:51:43,Client02,kernel,[    0.000000]   Intel GenuineIntel,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'Intel GenuineIntel']"
5,Mar,9,10:51:43,Client02,kernel,[    0.000000]   AMD AuthenticAMD,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'AMD AuthenticAMD']"
6,Mar,9,10:51:43,Client02,kernel,[    0.000000]   Hygon HygonGenuine,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'Hygon HygonGenuine']"
7,Mar,9,10:51:43,Client02,kernel,[    0.000000]   Centaur CentaurHauls,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'Centaur CentaurHauls']"
8,Mar,9,10:51:43,Client02,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers',fde341ba,[ <*>.<*>] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers',['0.000000']
9,Mar,9,10:51:43,Client02,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x002: 'SSE registers',a6660de3,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> <*>,"['0.000000', '0x002:', ""'SSE registers'""]"
10,Mar,9,10:51:43,Client02,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x004: 'AVX registers',a6660de3,[ <*>.<*>] x86/fpu: Supporting XSAVE feature <*> <*> <*>,"['0.000000', '0x004:', ""'AVX registers'""]"
11,Mar,9,10:51:43,Client02,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers',21239b8b,[ <*>.<*>] x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers',['0.000000']
